Dataset,Shot,Pass,Raw_AttackPrecision,Decoded_AttackPrecision,Raw_AttackRecall,Decoded_AttackRecall,Raw_AttackF1,Decoded_AttackF1
RPM,zero_shot,Pass_1,0.023809523809523808,0.2774566473988439,0.014492753623188406,0.34782608695652173,0.018018018018018018,0.30868167202572344
RPM,zero_shot,Pass_2,0.01282051282051282,0.2808988764044944,0.007246376811594203,0.36231884057971014,0.009259259259259259,0.3164556962025316
RPM,zero_shot,Pass_3,0.012195121951219513,0.2598870056497175,0.007246376811594203,0.3333333333333333,0.00909090909090909,0.292063492063492
RPM,zero_shot,Pass_4,0.024691358024691357,0.2737430167597765,0.014492753623188406,0.35507246376811596,0.0182648401826484,0.30914826498422715
RPM,zero_shot,Pass_5,0.012658227848101266,0.2611111111111111,0.007246376811594203,0.34057971014492755,0.009216589861751152,0.2955974842767296
RPM,one_shot,Pass_1,0.09278350515463918,0.2857142857142857,0.06521739130434782,0.08695652173913043,0.07659574468085105,0.13333333333333333
RPM,one_shot,Pass_2,0.0707070707070707,0.3157894736842105,0.050724637681159424,0.08695652173913043,0.05907172995780591,0.13636363636363635
RPM,one_shot,Pass_3,0.0784313725490196,0.32608695652173914,0.057971014492753624,0.10869565217391304,0.06666666666666667,0.16304347826086957
RPM,one_shot,Pass_4,0.08333333333333333,0.30612244897959184,0.06521739130434782,0.10869565217391304,0.07317073170731707,0.16042780748663102
RPM,one_shot,Pass_5,0.08080808080808081,0.28,0.057971014492753624,0.10144927536231885,0.06751054852320676,0.14893617021276598
RPM,two_shot,Pass_1,0.08928571428571429,0.3,0.036231884057971016,0.043478260869565216,0.05154639175257732,0.07594936708860758
RPM,two_shot,Pass_2,0.0196078431372549,0.2857142857142857,0.007246376811594203,0.028985507246376812,0.010582010582010581,0.05263157894736841
RPM,two_shot,Pass_3,0.0392156862745098,0.375,0.014492753623188406,0.043478260869565216,0.021164021164021163,0.07792207792207792
RPM,two_shot,Pass_4,0.10869565217391304,0.36363636363636365,0.036231884057971016,0.057971014492753624,0.05434782608695651,0.1
RPM,two_shot,Pass_5,0.044444444444444446,0.3684210526315789,0.014492753623188406,0.050724637681159424,0.02185792349726776,0.08917197452229299
RPM,three_shot,Pass_1,0.03508771929824561,0.36,0.014492753623188406,0.06521739130434782,0.02051282051282051,0.11042944785276072
RPM,three_shot,Pass_2,0.05172413793103448,0.4090909090909091,0.021739130434782608,0.06521739130434782,0.03061224489795918,0.1125
RPM,three_shot,Pass_3,0.06779661016949153,0.34782608695652173,0.028985507246376812,0.057971014492753624,0.04060913705583756,0.09937888198757765
RPM,three_shot,Pass_4,0.05357142857142857,0.4166666666666667,0.021739130434782608,0.07246376811594203,0.03092783505154639,0.1234567901234568
RPM,three_shot,Pass_5,0.018867924528301886,0.3181818181818182,0.007246376811594203,0.050724637681159424,0.010471204188481676,0.08750000000000001
Fuzzy,zero_shot,Pass_1,0.015873015873015872,0.005076142131979695,0.8333333333333334,0.16666666666666666,0.031152647975077878,0.009852216748768473
Fuzzy,zero_shot,Pass_2,0.012578616352201259,0.014705882352941176,0.6666666666666666,0.5,0.02469135802469136,0.028571428571428574
Fuzzy,zero_shot,Pass_3,0.015873015873015872,0.015384615384615385,0.8333333333333334,0.5,0.031152647975077878,0.029850746268656723
Fuzzy,zero_shot,Pass_4,0.012903225806451613,0.015463917525773196,0.6666666666666666,0.5,0.02531645569620253,0.030000000000000006
Fuzzy,zero_shot,Pass_5,0.016286644951140065,0.01639344262295082,0.8333333333333334,0.5,0.03194888178913738,0.031746031746031744
Fuzzy,one_shot,Pass_1,0.027472527472527472,0.2857142857142857,0.8333333333333334,0.3333333333333333,0.05319148936170213,0.30769230769230765
Fuzzy,one_shot,Pass_2,0.02857142857142857,0.25,0.8333333333333334,0.3333333333333333,0.05524861878453038,0.28571428571428575
Fuzzy,one_shot,Pass_3,0.02976190476190476,0.2857142857142857,0.8333333333333334,0.3333333333333333,0.057471264367816084,0.30769230769230765
Fuzzy,one_shot,Pass_4,0.027624309392265192,0.375,0.8333333333333334,0.5,0.053475935828877004,0.42857142857142855
Fuzzy,one_shot,Pass_5,0.028901734104046242,0.25,0.8333333333333334,0.3333333333333333,0.055865921787709494,0.28571428571428575
Fuzzy,two_shot,Pass_1,0.022026431718061675,0.5,0.8333333333333334,0.5,0.04291845493562232,0.5
Fuzzy,two_shot,Pass_2,0.022026431718061675,0.4,0.8333333333333334,0.3333333333333333,0.04291845493562232,0.3636363636363636
Fuzzy,two_shot,Pass_3,0.02262443438914027,0.42857142857142855,0.8333333333333334,0.5,0.04405286343612334,0.4615384615384615
Fuzzy,two_shot,Pass_4,0.02304147465437788,0.5,0.8333333333333334,0.3333333333333333,0.04484304932735426,0.4
Fuzzy,two_shot,Pass_5,0.02252252252252252,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.043859649122807015,0.16666666666666666
Fuzzy,three_shot,Pass_1,0.01607717041800643,0.15789473684210525,0.8333333333333334,0.5,0.031545741324921134,0.23999999999999996
Fuzzy,three_shot,Pass_2,0.01567398119122257,0.17647058823529413,0.8333333333333334,0.5,0.030769230769230767,0.2608695652173913
Fuzzy,three_shot,Pass_3,0.015060240963855422,0.13333333333333333,0.8333333333333334,0.3333333333333333,0.029585798816568046,0.19047619047619044
Fuzzy,three_shot,Pass_4,0.015105740181268883,0.13333333333333333,0.8333333333333334,0.3333333333333333,0.02967359050445104,0.19047619047619044
Fuzzy,three_shot,Pass_5,0.01592356687898089,0.16666666666666666,0.8333333333333334,0.5,0.03125,0.25
