Dataset,Shot,PR_AUC_Raw,PR_AUC_Decoded,ROC_AUC_Raw,ROC_AUC_Decoded
RPM,zero_shot,0.2619383068619257,0.2925992654156579,0.3574545600128113,0.4921931299543598
RPM,one_shot,0.2544222089473028,0.28762618338455775,0.38397790055248615,0.5143926655456802
RPM,two_shot,0.26062600597902347,0.29012240941334655,0.43341140203378975,0.5060152934582433
RPM,three_shot,0.2603764650938564,0.29546817895400135,0.4135739450716631,0.5231403635198976
Fuzzy,zero_shot,0.015276304413144388,0.013227832175358249,0.6020580296896085,0.5541497975708503
Fuzzy,one_shot,0.033084007694705056,0.2613260073260073,0.814608636977058,0.805161943319838
Fuzzy,two_shot,0.03318887685084868,0.37816666666666665,0.8022941970310391,0.8102226720647773
Fuzzy,three_shot,0.018872285233325056,0.28045502645502646,0.6661605937921727,0.8024628879892036
