Dataset,Shot,Raw_Accuracy,Decoded_Accuracy,Raw_AttackPrecision,Decoded_AttackPrecision,Raw_AttackRecall,Decoded_AttackRecall,Raw_AttackF1,Decoded_AttackF1
RPM,zero_shot,0.57,0.556,0.012658227848101266,0.26666666666666666,0.007246376811594203,0.34782608695652173,0.009216589861751152,0.30188679245283023
RPM,one_shot,0.554,0.69,0.07920792079207921,0.3023255813953488,0.057971014492753624,0.09420289855072464,0.06694560669456068,0.143646408839779
RPM,two_shot,0.642,0.716,0.044444444444444446,0.375,0.014492753623188406,0.043478260869565216,0.02185792349726776,0.07792207792207792
RPM,three_shot,0.632,0.714,0.057692307692307696,0.391304347826087,0.021739130434782608,0.06521739130434782,0.031578947368421054,0.11180124223602485
Fuzzy,zero_shot,0.3347457627118644,0.5953389830508474,0.015723270440251572,0.015706806282722512,0.8333333333333334,0.5,0.0308641975308642,0.030456852791878174
Fuzzy,one_shot,0.6398305084745762,0.9872881355932204,0.028735632183908046,0.5,0.8333333333333334,0.3333333333333333,0.05555555555555555,0.4
Fuzzy,two_shot,0.538135593220339,0.989406779661017,0.02252252252252252,0.6666666666666666,0.8333333333333334,0.3333333333333333,0.043859649122807015,0.4444444444444444
Fuzzy,three_shot,0.3050847457627119,0.972457627118644,0.015060240963855422,0.23076923076923078,0.8333333333333334,0.5,0.029585798816568046,0.3157894736842105
